,movie_code,duration,facenumber_in_poster,country,budget,gross,num_voted_users,num_user_for_reviews,num_critic_for_reviews,movie_facebook_likes,director_facebook_likes,actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,cast_total_facebook_likes,imdb_score,imdb_score_class
4669,4670,93.0,4.0,USA,600000.0,35688.0,4167,72.0,6.0,0,247.0,247.0,217.0,152.0,954,5.1,Fair
1983,1984,92.0,0.0,USA,14000000.0,49122319.0,47169,162.0,264.0,17000,30.0,941.0,459.0,309.0,2348,5.9,Fair
12,13,151.0,2.0,USA,225000000.0,423032628.0,522040,1832.0,313.0,5000,563.0,40000.0,5000.0,1000.0,48486,7.3,Good
1282,1283,112.0,0.0,France,40000000.0,36665854.0,76498,203.0,201.0,15000,118.0,877.0,738.0,674.0,3432,6.4,Good
1207,1208,120.0,1.0,USA,40000000.0,81593527.0,48806,263.0,118.0,11000,155.0,23000.0,984.0,249.0,24300,7.3,Good
3167,3168,97.0,1.0,UK,10000000.0,8111360.0,34848,203.0,137.0,0,350.0,460.0,372.0,250.0,1334,7.4,Good
1684,1685,96.0,2.0,USA,30000000.0,18967571.0,23345,167.0,105.0,629,845.0,978.0,968.0,488.0,3072,6.1,Good
5033,5034,80.0,0.0,Philippines,7000.0,70071.0,589,35.0,35.0,74,0.0,0.0,0.0,0.0,0,6.3,Good
3791,3792,89.0,1.0,Canada,,223615.0,127842,200.0,324.0,49000,27.0,948.0,779.0,440.0,2958,7.6,Good
3772,3773,110.0,0.0,USA,5000000.0,4040588.0,12233,89.0,109.0,0,19.0,25000.0,579.0,39.0,25676,6.8,Good
534,535,102.0,4.0,USA,80000000.0,162001186.0,181443,311.0,179.0,12000,221.0,12000.0,11000.0,4000.0,28497,6.0,Fair
540,541,90.0,0.0,USA,75000000.0,160762022.0,132415,288.0,143.0,0,10.0,22000.0,17000.0,11000.0,63165,6.0,Fair
2212,2213,107.0,2.0,USA,20000000.0,36874745.0,12276,117.0,122.0,21000,58.0,141.0,76.0,47.0,389,6.3,Good
2831,2832,121.0,1.0,USA,13000000.0,123922370.0,98348,131.0,62.0,0,272.0,49000.0,263.0,227.0,50141,7.3,Good
255,256,119.0,0.0,USA,110000000.0,129995817.0,154621,258.0,263.0,27000,124.0,14000.0,5000.0,1000.0,22622,6.3,Good
3877,3878,112.0,0.0,Switzerland,4500000.0,,15780,62.0,64.0,2000,0.0,29.0,9.0,7.0,61,6.2,Good
864,865,91.0,1.0,USA,55000000.0,55747724.0,18042,73.0,118.0,0,39.0,1000.0,591.0,562.0,3104,5.9,Fair
894,895,170.0,1.0,USA,54000000.0,66676062.0,267980,545.0,110.0,0,0.0,14000.0,1000.0,889.0,16949,7.6,Good
119,120,128.0,0.0,USA,150000000.0,205343774.0,980946,2685.0,478.0,15000,22000.0,23000.0,14000.0,11000.0,59558,8.3,Excellent
3422,3423,124.0,0.0,Japan,1100000000.0,439162.0,106160,430.0,150.0,0,78.0,6.0,5.0,4.0,28,8.1,Excellent
3267,3268,121.0,1.0,Spain,,12899702.0,76681,228.0,232.0,0,0.0,148.0,114.0,82.0,448,7.6,Good
3589,3590,106.0,4.0,USA,6000000.0,27457409.0,3198,43.0,52.0,478,10.0,3000.0,685.0,578.0,6419,6.3,Good
2661,2662,90.0,0.0,USA,15000000.0,26421314.0,28964,457.0,160.0,949,31.0,193.0,184.0,162.0,608,4.0,Bad
3012,3013,113.0,9.0,Georgia,20000000.0,17149.0,12128,61.0,74.0,0,212.0,567.0,111.0,18.0,708,5.6,Fair
1086,1087,83.0,7.0,USA,45000000.0,71277420.0,119590,548.0,127.0,0,322.0,1000.0,422.0,179.0,1645,5.2,Fair
4442,4443,82.0,0.0,Canada,1500000.0,,459,10.0,4.0,236,65.0,341.0,265.0,146.0,967,2.8,Bad
2933,2934,103.0,0.0,UK,5000000.0,42365600.0,45890,177.0,139.0,0,0.0,629.0,561.0,504.0,2730,7.0,Good
3265,3266,88.0,0.0,USA,9500000.0,,1763,26.0,18.0,898,6.0,557.0,290.0,200.0,1702,5.1,Fair
3687,3688,96.0,4.0,USA,5250000.0,766487.0,15315,117.0,65.0,915,136.0,4000.0,543.0,139.0,4883,5.0,Fair
1544,1545,131.0,6.0,USA,32500000.0,169076745.0,218711,485.0,371.0,27000,176.0,722.0,655.0,460.0,3229,6.8,Good
3703,3704,108.0,1.0,USA,5000000.0,43771291.0,79916,279.0,297.0,15000,0.0,1000.0,562.0,458.0,3215,7.1,Good
4207,4208,96.0,0.0,USA,2500000.0,322157.0,61787,203.0,238.0,19000,571.0,2000.0,973.0,370.0,4590,6.8,Good
